,C,coef0,degree,dev_accuracy,epsilon,gamma,kernel,max_iter,normalization,shrinking
0,4.96643605596,0.81020341865,6,2.80578598,0.188389382628,auto,poly,5900,max,False
0,2.80381943293,0.594246186537,8,1.49917090894,0.445072537656,auto,linear,9400,l2,True
0,4.70284177747,0.152942097423,2,7.05614964486,0.0810699876426,0.0961616813577,poly,4800,l2,True
0,4.57051749841,0.75093567761,3,9.45293441475,0.459131678477,0.0495588051497,linear,2300,none,True
0,3.98106841213,0.682331300005,4,2.79226540339,0.256670287785,auto,poly,4000,l2,True
0,3.03645882012,0.519104899929,2,2.62530460966,0.0134737126539,auto,linear,6400,l2,False
0,3.90217852857,0.541408671439,4,2.118449859,0.310683149859,auto,linear,8800,none,False
0,4.30825462205,0.524215287409,6,2.98006134393,0.0749264329993,0.0143541152878,rbf,5700,l1,True
0,1.62961499516,0.0727534976441,4,3.02743001799,0.177086389412,0.0116424029596,rbf,2500,l2,False
0,2.624966513,0.210779738599,6,2.79173611561,0.00975511188349,auto,rbf,4300,l2,False
0,0.575193284367,0.677570352164,4,1.99023492385,0.481477164128,auto,sigmoid,7100,l2,False
0,4.96831541336,0.64835718736,2,10.7537551376,0.0547050856074,auto,rbf,9300,none,True
0,1.86802033953,0.740838014924,9,3.61906146268,0.42449803016,0.00833352950995,linear,9300,l1,True
0,2.03963880541,0.423050759773,9,2.85338897979,0.383392811948,0.0140230086977,sigmoid,2300,l2,False
0,0.259752996675,0.718878843676,4,2.79166248187,0.435001405972,auto,rbf,4100,l1,False
0,1.71374457026,0.904719311802,9,2.79165964143,0.36737085928,auto,sigmoid,1000,l2,False
0,3.46801689325,0.250960722506,2,156.00157696,0.142699562532,0.0838557101207,poly,9900,none,True
0,4.7435273551,0.735140813851,8,2.64160849561,0.0464793263702,0.0740698649716,rbf,2400,none,True
0,3.44983563062,0.74910952155,6,2.79165964143,0.0423945117971,auto,sigmoid,4300,l2,False
0,3.4003613231,0.878249940066,9,2.79204531217,0.235145286284,auto,rbf,7500,l1,False
0,3.87146910505,0.609895515206,2,3.30079235685,0.0366429335424,0.06363419701,linear,8300,max,True
0,0.590760029248,0.0294488941894,3,2.88631756321,0.218300583921,0.0442882672631,sigmoid,9000,l2,True
0,1.51977742425,0.95470406694,6,2.79165964143,0.441628729865,auto,sigmoid,2600,l1,False
0,0.562545202612,0.355551393079,2,2.8114570881,0.257215942163,0.0627426236645,sigmoid,4000,l1,False
0,0.901993332796,0.976801213783,7,2.1211822043,0.0452435889516,auto,linear,9900,l2,False
0,3.04708266798,0.688593280759,8,2.89664949107,0.00925743400452,0.0101409512883,sigmoid,7500,l2,True
0,4.63717254212,0.244754834089,5,183.730553938,0.327312773262,0.0661431422145,sigmoid,5400,max,False
0,2.82118525845,0.061609359291,2,6.39666171981,0.265198831452,auto,rbf,6800,none,True
0,4.21298432942,0.849708024764,5,2.79202722434,0.295686099154,auto,rbf,6800,l1,True
0,2.17639035667,0.590914067956,8,2651216.88148,0.293461346324,0.0160414091159,sigmoid,6200,none,False
0,1.07706890583,0.889377908899,9,2.79140534228,0.106313066894,0.0794701581317,linear,3300,max,False
0,3.47260886053,0.543216407498,4,1.84199242374,0.239062172672,0.029215837346,rbf,6100,none,True
0,3.78691561953,0.107624206706,5,8.18072206559,0.182269494302,auto,rbf,7400,none,False
0,2.76038442405,0.826499045347,3,2.79176427648,0.195521693086,auto,rbf,4000,l2,True
0,2.30125375157,0.974075171932,2,2.54420681554,0.429119868924,auto,linear,4600,max,False
0,2.17429893467,0.147294024726,9,10.349339456,0.108095199017,0.0425639645279,poly,2000,l2,True
0,4.94458048995,0.905872312801,8,2.29310599613e+16,0.440227958229,0.0734566223933,poly,3100,none,True
0,4.2716596119,0.23331349771,4,3.30434730935,0.271615947604,auto,linear,5200,max,True
0,2.73984395348,0.960330082986,7,3.30884371394,0.00999058040619,auto,linear,3400,max,False
0,2.12329305262,0.600315309851,6,3.06596767644,0.300721124133,0.0371209395464,rbf,7300,l2,False
0,1.21916889469,0.973024082991,3,4.0970092919,0.454737044855,auto,linear,7600,l1,False
0,0.343026036937,0.232302865643,8,5.66363209108,0.116141621189,0.0120319625692,linear,8200,l2,True
